transaction_id,amount,merchant,category,is_fraud
1001,25.50,StoreA,groceries,0
1002,1250.00,OnlineShopB,electronics,1
1003,45.00,RestaurantC,dining,0
1004,890.00,StoreD,clothing,0
1005,3200.00,OnlineShopE,electronics,1
1006,12.99,StoreF,groceries,0
1007,567.00,StoreG,clothing,0
1008,2100.00,OnlineShopH,electronics,1
1009,33.50,RestaurantI,dining,0
1010,78.00,StoreJ,groceries,0
2001,150.00,StoreAA,groceries,0
2002,4500.00,OnlineShopBB,electronics,1
2003,88.00,RestaurantCC,dining,0
2004,1200.00,StoreDD,clothing,0
2005,6700.00,OnlineShopEE,electronics,1
2006,35.00,StoreFF,groceries,0
2007,920.00,StoreGG,clothing,0
2008,3300.00,OnlineShopHH,electronics,1
2009,42.00,RestaurantII,dining,0
2010,110.00,StoreJJ,groceries,0
